[0.000] init():  Atollic TrueSTUDIO gdbserver for ST-Link. Version 4.2.2 (LINUX64 2018-02-26 16:20:21 15675)
[2.538] flash_f2_get_busy_status():  FuncExit
[2.538] flash_f2_get_busy_status():  FuncEntry
[2.538] flash_f2_get_busy_status():  FuncExit
[2.538] flash_f2_get_busy_status():  FuncEntry
[2.538] flash_f2_get_busy_status():  FuncExit
[2.538] flash_f2_get_busy_status():  FuncEntry
[2.539] flash_f2_get_busy_status():  FuncExit
[2.539] flash_f2_get_busy_status():  FuncEntry
[2.539] flash_f2_get_busy_status():  FuncExit
[2.539] flash_f2_get_busy_status():  FuncEntry
[2.539] flash_f2_get_busy_status():  FuncExit
[2.539] flash_f2_get_busy_status():  FuncEntry
[2.540] flash_f2_get_busy_status():  FuncExit
[2.540] flash_f2_get_busy_status():  FuncEntry
[2.540] flash_f2_get_busy_status():  FuncExit
[2.540] flash_f2_get_busy_status():  FuncEntry
[2.540] flash_f2_get_busy_status():  FuncExit
[2.540] flash_f2_get_busy_status():  FuncEntry
[2.540] flash_f2_get_busy_status():  FuncExit
[2.540] flash_f2_get_busy_status():  FuncEntry
[2.541] flash_f2_get_busy_status():  FuncExit
[2.541] flash_f2_get_busy_status():  FuncEntry
[2.541] flash_f2_get_busy_status():  FuncExit
[2.541] flash_f2_get_busy_status():  FuncEntry
[2.541] flash_f2_get_busy_status():  FuncExit
[2.541] flash_f2_get_busy_status():  FuncEntry
[2.542] flash_f2_get_busy_status():  FuncExit
[2.542] flash_f2_get_busy_status():  FuncEntry
[2.542] flash_f2_get_busy_status():  FuncExit
[2.542] flash_f2_get_busy_status():  FuncEntry
[2.542] flash_f2_get_busy_status():  FuncExit
[2.542] flash_f2_get_busy_status():  FuncEntry
[2.543] flash_f2_get_busy_status():  FuncExit
[2.543] flash_f2_get_busy_status():  FuncEntry
[2.543] flash_f2_get_busy_status():  FuncExit
[2.543] flash_f2_get_busy_status():  FuncEntry
[2.543] flash_f2_get_busy_status():  FuncExit
[2.543] flash_f2_get_busy_status():  FuncEntry
[2.543] flash_f2_get_busy_status():  FuncExit
[2.543] flash_f2_get_busy_status():  FuncEntry
[2.548] flash_f2_get_busy_status():  FuncExit
[2.548] flash_f2_get_busy_status():  FuncEntry
[2.549] flash_f2_get_busy_status():  FuncExit
[2.549] flash_f2_get_busy_status():  FuncEntry
[2.549] flash_f2_get_busy_status():  FuncExit
[2.549] flash_f2_get_busy_status():  FuncEntry
[2.550] flash_f2_get_busy_status():  FuncExit
[2.550] flash_f2_get_busy_status():  FuncEntry
[2.550] flash_f2_get_busy_status():  FuncExit
[2.550] flash_f2_get_busy_status():  FuncEntry
[2.550] flash_f2_get_busy_status():  FuncExit
[2.550] flash_f2_get_busy_status():  FuncEntry
[2.551] flash_f2_get_busy_status():  FuncExit
[2.551] flash_f2_get_busy_status():  FuncEntry
[2.551] flash_f2_get_busy_status():  FuncExit
[2.551] flash_f2_get_busy_status():  FuncEntry
[2.551] flash_f2_get_busy_status():  FuncExit
[2.551] flash_f2_get_busy_status():  FuncEntry
[2.552] flash_f2_get_busy_status():  FuncExit
[2.552] flash_f2_get_busy_status():  FuncEntry
[2.552] flash_f2_get_busy_status():  FuncExit
[2.552] flash_f2_get_busy_status():  FuncEntry
[2.552] flash_f2_get_busy_status():  FuncExit
[2.552] flash_f2_get_busy_status():  FuncEntry
[2.552] flash_f2_get_busy_status():  FuncExit
[2.552] flash_f2_get_busy_status():  FuncEntry
[2.553] flash_f2_get_busy_status():  FuncExit
[2.553] flash_f2_get_busy_status():  FuncEntry
[2.553] flash_f2_get_busy_status():  FuncExit
[2.553] flash_f2_get_busy_status():  FuncEntry
[2.553] flash_f2_get_busy_status():  FuncExit
[2.553] flash_f2_get_busy_status():  FuncEntry
[2.554] flash_f2_get_busy_status():  FuncExit
[2.554] flash_f2_get_busy_status():  FuncEntry
[2.554] flash_f2_get_busy_status():  FuncExit
[2.554] flash_f2_get_busy_status():  FuncEntry
[2.554] flash_f2_get_busy_status():  FuncExit
[2.554] flash_f2_get_busy_status():  FuncEntry
[2.555] flash_f2_get_busy_status():  FuncExit
[2.555] flash_f2_get_busy_status():  FuncEntry
[2.555] flash_f2_get_busy_status():  FuncExit
[2.555] flash_f2_get_busy_status():  FuncEntry
[2.555] flash_f2_get_busy_status():  FuncExit
[2.555] flash_f2_get_busy_status():  FuncEntry
[2.555] flash_f2_get_busy_status():  FuncExit
[2.555] flash_f2_get_busy_status():  FuncEntry
[2.556] flash_f2_get_busy_status():  FuncExit
[2.556] flash_f2_get_busy_status():  FuncEntry
[2.556] flash_f2_get_busy_status():  FuncExit
[2.556] flash_f2_get_busy_status():  FuncEntry
[2.557] flash_f2_get_busy_status():  FuncExit
[2.557] flash_f2_get_busy_status():  FuncEntry
[2.558] flash_f2_get_busy_status():  FuncExit
[2.558] flash_f2_get_busy_status():  FuncEntry
[2.558] flash_f2_get_busy_status():  FuncExit
[2.558] flash_f2_get_busy_status():  FuncEntry
[2.558] flash_f2_get_busy_status():  FuncExit
[2.558] flash_f2_get_busy_status():  FuncEntry
[2.558] flash_f2_get_busy_status():  FuncExit
[2.558] flash_f2_get_busy_status():  FuncEntry
[2.559] flash_f2_get_busy_status():  FuncExit
[2.559] flash_f2_get_busy_status():  FuncEntry
[2.559] flash_f2_get_busy_status():  FuncExit
[2.559] flash_f2_get_busy_status():  FuncEntry
[2.559] flash_f2_get_busy_status():  FuncExit
[2.559] flash_f2_get_busy_status():  FuncEntry
[2.560] flash_f2_get_busy_status():  FuncExit
[2.560] flash_f2_get_busy_status():  FuncEntry
[2.560] flash_f2_get_busy_status():  FuncExit
[2.560] flash_f2_get_busy_status():  FuncEntry
[2.560] flash_f2_get_busy_status():  FuncExit
[2.560] flash_f2_get_busy_status():  FuncEntry
[2.561] flash_f2_get_busy_status():  FuncExit
[2.561] flash_f2_get_busy_status():  FuncEntry
[2.561] flash_f2_get_busy_status():  FuncExit
[2.562] flash_f2_get_busy_status():  FuncEntry
[2.562] flash_f2_get_busy_status():  FuncExit
[2.562] flash_f2_get_busy_status():  FuncEntry
[2.563] flash_f2_get_busy_status():  FuncExit
[2.563] flash_f2_get_busy_status():  FuncEntry
[2.564] flash_f2_get_busy_status():  FuncExit
[2.564] flash_f2_get_busy_status():  FuncEntry
[2.564] flash_f2_get_busy_status():  FuncExit
[2.564] flash_f2_get_busy_status():  FuncEntry
[2.565] flash_f2_get_busy_status():  FuncExit
[2.565] flash_f2_get_busy_status():  FuncEntry
[2.565] flash_f2_get_busy_status():  FuncExit
[2.565] flash_f2_get_busy_status():  FuncEntry
[2.565] flash_f2_get_busy_status():  FuncExit
[2.565] flash_f2_get_busy_status():  FuncEntry
[2.566] flash_f2_get_busy_status():  FuncExit
[2.566] flash_f2_get_busy_status():  FuncEntry
[2.566] flash_f2_get_busy_status():  FuncExit
[2.566] flash_f2_get_busy_status():  FuncEntry
[2.566] flash_f2_get_busy_status():  FuncExit
[2.566] flash_f2_get_busy_status():  FuncEntry
[2.566] flash_f2_get_busy_status():  FuncExit
[2.566] flash_f2_get_busy_status():  FuncEntry
[2.567] flash_f2_get_busy_status():  FuncExit
[2.567] flash_f2_get_busy_status():  FuncEntry
[2.567] flash_f2_get_busy_status():  FuncExit
[2.567] flash_f2_get_busy_status():  FuncEntry
[2.567] flash_f2_get_busy_status():  FuncExit
[2.567] flash_f2_get_busy_status():  FuncEntry
[2.568] flash_f2_get_busy_status():  FuncExit
[2.568] flash_f2_get_busy_status():  FuncEntry
[2.568] flash_f2_get_busy_status():  FuncExit
[2.568] flash_f2_get_busy_status():  FuncEntry
[2.569] flash_f2_get_busy_status():  FuncExit
[2.569] flash_f2_get_busy_status():  FuncEntry
[2.569] flash_f2_get_busy_status():  FuncExit
[2.569] flash_f2_get_busy_status():  FuncEntry
[2.570] flash_f2_get_busy_status():  FuncExit
[2.570] flash_f2_get_busy_status():  FuncEntry
[2.570] flash_f2_get_busy_status():  FuncExit
[2.570] flash_f2_get_busy_status():  FuncEntry
[2.570] flash_f2_get_busy_status():  FuncExit
[2.570] flash_f2_get_busy_status():  FuncEntry
[2.571] flash_f2_get_busy_status():  FuncExit
[2.571] flash_f2_get_busy_status():  FuncEntry
[2.571] flash_f2_get_busy_status():  FuncExit
[2.571] flash_f2_get_busy_status():  FuncEntry
[2.571] flash_f2_get_busy_status():  FuncExit
[2.571] flash_f2_get_busy_status():  FuncEntry
[2.572] flash_f2_get_busy_status():  FuncExit
[2.572] flash_f2_get_busy_status():  FuncEntry
[2.572] flash_f2_get_busy_status():  FuncExit
[2.572] flash_f2_get_busy_status():  FuncEntry
[2.572] flash_f2_get_busy_status():  FuncExit
[2.572] flash_f2_get_busy_status():  FuncEntry
[2.572] flash_f2_get_busy_status():  FuncExit
[2.572] flash_f2_get_busy_status():  FuncEntry
[2.573] flash_f2_get_busy_status():  FuncExit
[2.573] flash_f2_get_busy_status():  FuncEntry
[2.574] flash_f2_get_busy_status():  FuncExit
[2.574] flash_f2_get_busy_status():  FuncEntry
[2.574] flash_f2_get_busy_status():  FuncExit
[2.574] flash_f2_get_busy_status():  FuncEntry
[2.574] flash_f2_get_busy_status():  FuncExit
[2.574] flash_f2_get_busy_status():  FuncEntry
[2.574] flash_f2_get_busy_status():  FuncExit
[2.574] flash_f2_get_busy_status():  FuncEntry
[2.575] flash_f2_get_busy_status():  FuncExit
[2.575] flash_f2_get_busy_status():  FuncEntry
[2.575] flash_f2_get_busy_status():  FuncExit
[2.575] flash_f2_get_busy_status():  FuncEntry
[2.575] flash_f2_get_busy_status():  FuncExit
[2.575] flash_f2_get_busy_status():  FuncEntry
[2.576] flash_f2_get_busy_status():  FuncExit
[2.576] flash_f2_get_busy_status():  FuncEntry
[2.576] flash_f2_get_busy_status():  FuncExit
[2.576] flash_f2_get_busy_status():  FuncEntry
[2.576] flash_f2_get_busy_status():  FuncExit
[2.576] flash_f2_get_busy_status():  FuncEntry
[2.577] flash_f2_get_busy_status():  FuncExit
[2.577] flash_f2_get_busy_status():  FuncEntry
[2.577] flash_f2_get_busy_status():  FuncExit
[2.577] flash_f2_get_busy_status():  FuncEntry
[2.577] flash_f2_get_busy_status():  FuncExit
[2.577] flash_f2_get_busy_status():  FuncEntry
[2.577] flash_f2_get_busy_status():  FuncExit
[2.577] flash_f2_get_busy_status():  FuncEntry
[2.578] flash_f2_get_busy_status():  FuncExit
[2.578] flash_f2_get_busy_status():  FuncEntry
[2.578] flash_f2_get_busy_status():  FuncExit
[2.578] flash_f2_get_busy_status():  FuncEntry
[2.578] flash_f2_get_busy_status():  FuncExit
[2.578] flash_f2_get_busy_status():  FuncEntry
[2.579] flash_f2_get_busy_status():  FuncExit
[2.579] flash_f2_get_busy_status():  FuncEntry
[2.579] flash_f2_get_busy_status():  FuncExit
[2.579] flash_f2_get_busy_status():  FuncEntry
[2.579] flash_f2_get_busy_status():  FuncExit
[2.579] flash_f2_get_busy_status():  FuncEntry
[2.580] flash_f2_get_busy_status():  FuncExit
[2.580] flash_f2_get_busy_status():  FuncEntry
[2.580] flash_f2_get_busy_status():  FuncExit
[2.580] flash_f2_get_busy_status():  FuncEntry
[2.580] flash_f2_get_busy_status():  FuncExit
[2.580] flash_f2_get_busy_status():  FuncEntry
[2.580] flash_f2_get_busy_status():  FuncExit
